PERIOD_BEGIN,PENDING_SALES,NEW_LISTINGS,MEDIAN_DOM,PRICE_DROPS,AVG_SALE_TO_LIST,HOMES_SOLD,INVENTORY,MEDIAN_SALE_PRICE
2012-01-01,1744.3253205454446,1699.9266236431113,56.89455688699999,0.3029847214333333,0.9704926396333333,1189.1190247605555,4464.606619735778,274146.804823611
2012-02-01,1720.2444548785556,1612.4336645054443,59.486088741,0.2871395858888889,0.9690459215777777,1262.5507387931111,4250.901200445999,266550.7791629753
2012-03-01,1805.4757471262221,1633.052956731889,55.10268439722222,0.2679499364888889,0.9741565066,1352.5105387199999,4008.613846738222,287328.7629668636
2012-04-01,1792.0108164584444,1541.7645372621112,48.67692813811111,0.2540558721888889,0.9741597836777777,1410.3311873123334,3762.9837817346665,290270.7120673943
2012-05-01,1848.159452903889,1522.1660664152223,45.43305235122222,0.2503301512888889,0.9761918312111111,1440.9454173344445,3496.8106239999997,296350.86768597923
2012-06-01,1709.571439799,1564.193650224778,41.408668150000004,0.2288141783777778,0.9790663733555556,1457.7366166503334,3322.899038722889,293789.39108432335
2012-07-01,1682.4663745663333,1517.795003867111,35.97410350533333,0.22364663994444445,0.982069989611111,1390.2907183767777,3173.089618323667,299275.18691492145
2012-08-01,1753.1413699575558,1573.915429393111,30.857160606333334,0.2325058812888889,0.9843689873999999,1519.590428021,3035.1408216864447,308046.8692672563
2012-09-01,1618.908701179,1480.7031857744446,28.350203783666668,0.2092002607333333,0.9820602774444445,1379.7388966286667,2895.102101110111,314653.91623439966
2012-10-01,1777.428896831333,1529.341212256,26.706936443777778,0.23890640680000003,0.9857454043666666,1447.651359658111,2752.8300562913337,316621.94130082085
2012-11-01,1642.5991734744446,1430.9240971217778,26.097182494222224,0.2109547527,0.9863489611222221,1417.3511160055557,2629.697937583778,327846.7783538166
2012-12-01,1585.9148330242222,1350.9122907553333,22.42370001411111,0.1993141368222222,0.9879547812999999,1532.9071438033334,2498.4110077106666,334248.243515272
2013-01-01,1602.4996113802222,1541.0777794053333,22.337720342555556,0.2168142653111111,0.9903968252777778,1316.7354468003332,2476.7501019823335,318103.1774840865
2013-02-01,1625.1490638755556,1537.397704096111,22.594090886,0.18635763735555555,0.9936252940888889,1303.3996864266667,2466.6136274083333,330152.075650145
2013-03-01,1902.6406737216666,1694.3349075616668,20.023310374333334,0.19327603410000002,0.991398762011111,1520.7299162994445,2458.4375330424446,357256.26162122714
2013-04-01,1691.3637781814443,1713.6883738955555,18.080023658222224,0.19747140295555557,0.9930083719666667,1437.5070202982222,2542.9229511984445,373323.9289717152
2013-05-01,1702.2088261055555,1807.5966036778889,17.545187992777777,0.1897515253,0.9940474361333335,1574.3854441473331,2713.139089993889,386266.5633687568
2013-06-01,1680.3807376598888,1832.2171360876664,16.517903926444447,0.2050158859,0.9964147042999999,1500.9840473133333,2905.6558869957776,379944.44642280013
2013-07-01,1694.9572370202222,1842.7393915628886,17.145440532,0.24631586912222225,0.9939601696333332,1553.9674074975555,3099.8890926272225,395235.7111495013
2013-08-01,1607.5986389817779,1781.6600598965556,18.846196681333332,0.2629231629666667,0.9920487402888889,1523.2583833937779,3299.850385089556,387706.37653554336
2013-09-01,1511.3950677232222,1665.1258010725555,22.16753282288889,0.2768516271222222,0.9853671821222222,1324.476374862111,3378.037610174667,391500.63629524613
2013-10-01,1570.4519905323332,1606.9061990887776,25.024569126888892,0.2766330061555555,0.9848305894444445,1388.7183742256666,3383.482789536889,379772.68217218114
2013-11-01,1407.979546304,1391.5750279768888,27.608943339,0.2626943587111111,0.9811188061111111,1273.8397493352222,3287.230249164889,387060.0652653656
2013-12-01,1323.496558750778,1236.747601123,31.690566729666664,0.2204467231888889,0.9782269381,1249.571873000889,3100.365325345889,378701.262273976
